smiles,cano_smiles,CMC,ST,KOW,i,tox_pred_label_sum
O=S1(=O)CCC(F)(F)C(CO)C1,O=S1(=O)CCC(F)(F)C(CO)C1,-0.08984311,43.74444,-0.49995986,0,0.0
COC(=O)NC(C)(F)C(F)(F)F,COC(=O)NC(C)(F)C(F)(F)F,0.2964819,23.347544,1.6079426,0,0.0
CC1CCC(F)(F)C1(F)F,CC1CCC(F)(F)C1(F)F,0.2001162,18.565664,2.5963085,0,0.0
O=S(=O)(O)C(F)(F)F,O=S(=O)(O)C(F)(F)F,0.662274,29.878836,-2.0552266,0,0.0
NC(=O)C(CCC(F)(F)F)C(F)(F)F,NC(=O)C(CCC(F)(F)F)C(F)(F)F,0.38191688,22.894276,1.5777776,0,0.0
O=C1OCC(C(F)(F)F)C1(F)F,O=C1OCC(C(F)(F)F)C1(F)F,-0.14765999,21.25582,1.1401161,0,0.0
FC(F)(F)C(I)CI,FC(F)(F)C(I)CI,0.86781967,30.28677,3.1615443,0,0.0
OC(O)C(F)(F)CCC(F)(F)F,OC(O)C(F)(F)CCC(F)(F)F,0.6750649,23.013498,1.1180228,0,0.0
Cc1cc(C(=O)O)cc(C(F)(F)F)c1,Cc1cc(C(=O)O)cc(C(F)(F)F)c1,-0.018208593,33.37493,3.243792,0,0.0
CC(=O)C(F)(F)F,CC(=O)C(F)(F)F,0.6729629,17.606682,0.59251606,0,0.0
COC(=O)C1COC(F)(F)C(F)(F)CC1(F)F,COC(=O)C1COC(F)(F)C(F)(F)CC1(F)F,-0.9348415,22.377686,2.3184896,0,0.0
FC(F)(F)C1(F)COC1(F)F,FC(F)(F)C1(F)COC1(F)F,0.019276524,16.508047,1.9218967,0,0.0
N=CCCC(F)(F)C1(F)OCC1(F)F,N=CCCC(F)(F)C1(F)OCC1(F)F,-0.34018,24.780365,1.5048715,0,0.0
COC(=O)C(C)(F)C(F)(F)F,COC(=O)C(C)(F)C(F)(F)F,0.17472243,19.991049,1.6716293,0,0.0
C=CC(=O)OC(C)C(=O)OCC(F)(F)F,C=CC(=O)OC(C)C(=O)OCC(F)(F)F,0.16408908,28.030735,1.7475353,0,0.0
NC1=NS(=O)C(F)(F)C1(F)F,NC1=NS(=O)C(F)(F)C1(F)F,-0.032727383,26.6591,0.7420694,0,0.0
C=CN(C)C(=O)C(F)(F)F,C=CN(C)C(=O)C(F)(F)F,0.56405646,25.626492,0.88975394,0,0.0
Nc1cc(F)cc(C(F)(F)F)c1,Nc1cc(F)cc(C(F)(F)F)c1,0.18918195,28.364197,2.507434,0,0.0
CCOP(=O)([O-])C(F)(F)F,CCOP(=O)([O-])C(F)(F)F,0.59480774,23.76395,0.12227092,0,0.0
CCCC(C(=O)O)C(F)(F)F,CCCC(C(=O)O)C(F)(F)F,0.74832994,24.71144,2.0689828,0,0.0
CC(F)(F)C1(F)C[SH]1(=O)F,CC(F)(F)C1(F)C[SH]1(=O)F,0.27902794,27.261663,1.346412,0,0.0
O=C(N1CCCC1)C(F)(F)F,O=C(N1CCCC1)C(F)(F)F,0.6713353,34.176495,0.97731906,0,0.0
FC(F)C(F)(F)C(F)CI,FC(F)C(F)(F)C(F)CI,0.41539073,22.427725,2.5572307,0,0.0
O=S(=O)(OCCI)C(F)(F)F,O=S(=O)(OCCI)C(F)(F)F,0.6467502,38.11039,2.0738704,0,0.0
COc1nc(C(F)(F)F)n(S(=O)(=O)OC)n1,COc1nc(C(F)(F)F)n(S(=O)(=O)OC)n1,-0.24477763,39.648605,1.6871986,0,0.0
FCC1[C@@H](F)CCCC1(F)C(F)(F)F,FCC1[C@@H](F)CCCC1(F)C(F)(F)F,0.22237054,20.787018,2.9842854,0,0.0
CN(O)C(=O)C1C(F)(F)C1(F)F,CN(O)C(=O)C1C(F)(F)C1(F)F,-0.047077578,28.671698,0.6314363,0,0.0
CCC(C(=O)O)C(F)(F)F,CCC(C(=O)O)C(F)(F)F,0.72836936,24.207157,1.6105888,0,0.0
CCN(CCCS(=O)(=O)C(F)(F)F)C(=O)[O-],CCN(CCCS(=O)(=O)C(F)(F)F)C(=O)[O-],0.10752399,41.311623,1.0426344,0,0.0
O=S(=O)(O)CC(F)(F)F,O=S(=O)(O)CC(F)(F)F,0.6150328,32.304314,-1.9397207,0,0.0
CC(=O)OC(C)C(F)(F)C(F)(F)F,CC(=O)OC(C)C(F)(F)C(F)(F)F,-0.044064373,19.784307,2.2102115,0,0.0
O=S(C=CF)C(F)(F)F,O=S(C=CF)C(F)(F)F,0.47153288,22.3055,1.2787677,0,0.0
CC(O)(C(F)(F)F)C(F)(F)F,CC(O)(C(F)(F)F)C(F)(F)F,0.35649678,17.430147,1.8375124,0,0.0
CC(=O)OCC(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(=O)OCC(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,-0.4549698,30.659588,3.2407098,0,0.0
CCC(=O)OC(C(F)(F)F)C(F)(F)Cl,CCC(=O)OC(C(F)(F)F)C(F)(F)Cl,0.110333025,20.431591,2.952661,0,0.0
O=C(CO)C(F)(F)F,O=C(CO)C(F)(F)F,0.76057357,26.254007,0.06811802,0,0.0
Cc1ccc(Cl)nc1C(F)(F)F,Cc1ccc(Cl)nc1C(F)(F)F,0.035653524,28.292297,2.9497125,0,0.0
Cc1cc(OC(F)(F)F)ccc1CC(=O)O,Cc1cc(OC(F)(F)F)ccc1CC(=O)O,0.078029044,36.81967,2.8983364,0,0.0
OC(c1ccc(Br)cc1)C(F)(F)F,OC(c1ccc(Br)cc1)C(F)(F)F,0.4253847,34.304726,2.9554539,0,0.0
COC(=O)C(F)C(F)C(F)(F)F,COC(=O)C(F)C(F)C(F)(F)F,0.10703874,20.36124,1.3889929,0,0.0
CC(=O)OC(O)c1ccc(C(F)(F)F)cc1,CC(=O)OC(O)c1ccc(C(F)(F)F)cc1,-0.27511668,35.10721,2.1708794,0,0.0
CC1OC(C)(F)C(F)(F)C1(F)F,CC1OC(C)(F)C(F)(F)C1(F)F,-0.41192022,17.37871,2.337006,0,0.0
NC(=O)C1CC(=O)OC(F)(F)C(F)(F)OC1(F)F,NC(=O)C1CC(=O)OC(F)(F)C(F)(F)OC1(F)F,-0.9374709,29.040573,1.3557019,0,0.0
O=C(O)C[C@@H]1CCC(F)(F)O1,O=C(O)C[C@@H]1CCC(F)(F)O1,0.01691119,30.782642,0.9171756,0,0.0
O=C1OCON1c1ccc(C(F)(F)Cl)cc1,O=C1OCON1c1ccc(C(F)(F)Cl)cc1,-0.16320676,41.833797,2.2397444,0,0.0
COC(F)(C(F)(F)C(N)=O)P(C)(=O)F,COC(F)(C(F)(F)C(N)=O)P(C)(=O)F,-0.056135304,27.013672,-0.061504908,0,0.0
CC(F)(F)S(=O)(=O)F,CC(F)(F)S(=O)(=O)F,0.59900373,27.278412,1.6554487,0,0.0
FC(Nc1cccc(I)c1)C(F)(F)F,FC(Nc1cccc(I)c1)C(F)(F)F,0.5006491,32.69738,4.0928197,0,0.0
CCS(=O)(=O)OCCC(F)(F)C(F)(F)F,CCS(=O)(=O)OCCC(F)(F)C(F)(F)F,-0.12154646,29.904083,2.0472684,0,0.0
Cc1nc(C(F)(F)F)c[nH]1,Cc1nc(C(F)(F)F)c[nH]1,0.4985331,27.846294,1.2896507,0,0.0
NS(=O)(=O)C(F)(F)C(F)F,NS(=O)(=O)C(F)(F)C(F)F,0.30801386,29.04007,0.65328217,0,0.0
CC(=O)OCC(O)(C(F)(F)F)C(F)(F)F,CC(=O)OCC(O)(C(F)(F)F)C(F)(F)F,-0.14703734,22.574678,1.5588713,0,0.0
CC(=O)OC1CCC(F)(F)C1(F)F,CC(=O)OC1CCC(F)(F)C1(F)F,-0.3860249,22.291103,1.8635534,0,0.0
COC(=O)C1CSC1(F)C(F)(F)F,COC(=O)C1CSC1(F)C(F)(F)F,-0.29466572,27.369501,2.0769522,0,0.0
FC(I)C(F)(F)F,FC(I)C(F)(F)F,0.8960568,19.10509,2.1821065,0,0.0
O=S(=O)(O)CCCCC(F)(F)F,O=S(=O)(O)CCCCC(F)(F)F,0.6822546,34.938927,-1.1744639,0,0.0
OC(F)(F)C(F)(F)Cl,OC(F)(F)C(F)(F)Cl,0.83711976,17.15012,1.6467638,0,0.0
OCCOCC(F)(F)F,OCCOCC(F)(F)F,1.3113716,25.619564,0.26406324,0,0.0
COC(=O)CC(N)C(F)(F)C(F)(F)F,COC(=O)CC(N)C(F)(F)C(F)(F)F,-0.03938741,23.60869,1.1936562,0,0.0
CC(C)NS(=O)(=O)C(F)(F)F,CC(C)NS(=O)(=O)C(F)(F)F,0.51899415,28.873749,1.5286634,0,0.0
FC1CCCOC1(F)C(F)SC(F)(F)F,FC1CCCOC1(F)C(F)SC(F)(F)F,-0.24113913,22.674229,2.9699554,0,0.0
FC1C=CCC(F)(F)C(F)(F)C1,FC1C=CCC(F)(F)C(F)(F)C1,-0.16927704,19.84239,2.5278623,0,0.0
Nc1nc(CO)c(C(F)(F)F)o1,Nc1nc(CO)c(C(F)(F)F)o1,0.18753508,36.81528,0.31930834,0,0.0
FC1CCCC(F)(F)C1(F)F,FC1CCCC(F)(F)C1(F)F,0.06886752,19.042843,2.382726,0,0.0
C=CC(=O)OCC(C)C(F)(F)F,C=CC(=O)OCC(C)C(F)(F)F,0.41582742,22.983921,2.2665238,0,0.0
CC1(C)OC(F)(F)C(F)(F)C1F,CC1(C)OC(F)(F)C(F)(F)C1F,-0.24417153,17.10963,2.588426,0,0.0
CCOP(=O)(CCN(CCO)C(=O)C(F)(F)F)CC(F)(F)F,CCOP(=O)(CCN(CCO)C(=O)C(F)(F)F)CC(F)(F)F,-0.24421088,33.95067,1.0478241,0,0.0
COC(=O)CC(N)C(F)(F)F,COC(=O)CC(N)C(F)(F)F,0.3316485,26.194336,0.3418076,0,0.0
CCC(O)CC(F)(F)C(F)F,CCC(O)CC(F)(F)C(F)F,0.7326068,22.82883,1.6155125,0,0.0
NC(=O)C(F)CC(F)(F)F,NC(=O)C(F)CC(F)(F)F,0.55811304,23.91769,0.48643517,0,0.0
Cc1cnnc(C(F)(F)F)c1,Cc1cnnc(C(F)(F)F)c1,0.36129287,30.17767,1.0639977,0,0.0
CC(C)(C)c1ccc(C(=O)O)c(C(F)(F)F)c1,CC(C)(C)c1ccc(C(=O)O)c(C(F)(F)F)c1,-0.07351336,31.687607,4.1510196,0,0.0
CC(F)(F)C1(F)CCOC(N)=N1,CC(F)(F)C1(F)CCOC(N)=N1,0.03162828,28.745483,0.8843128,0,0.0
NS(=O)(=O)C(F)(F)F,NS(=O)(=O)C(F)(F)F,0.69219196,30.450174,0.37782022,0,0.0
NC(=O)c1ccc(F)cc1C(F)(F)F,NC(=O)c1ccc(F)cc1C(F)(F)F,-0.053493023,32.947468,1.542021,0,0.0
CC1(F)CC(F)(F)C(F)(F)O1,CC1(F)CC(F)(F)C(F)(F)O1,-0.042155396,16.710423,2.431795,0,0.0
O=C1OCC(F)(F)C(F)(F)[PH]1=O,O=C1OCC(F)(F)C(F)(F)[PH]1=O,-0.32694992,27.590942,0.25020802,0,0.0
O=C(NO)NC(=O)C(F)(F)C(F)(F)F,O=C(NO)NC(=O)C(F)(F)C(F)(F)F,-0.035180885,32.04166,0.89740324,0,0.0
O=C1NS(=O)(=O)C(F)(F)C1(F)F,O=C1NS(=O)(=O)C(F)(F)C1(F)F,-0.2317237,30.949463,0.80104285,0,0.0
Cc1ccc(C(=O)O)c(C(F)(F)F)c1,Cc1ccc(C(=O)O)c(C(F)(F)F)c1,0.000491655,32.868904,2.9910014,0,0.0
CCOC(=O)C(Br)C(F)(F)F,CCOC(=O)C(Br)C(F)(F)F,0.5160084,27.02326,2.1397398,0,0.0
CN1CCC[C@H]1OS(=O)C(F)(F)F,CN1CCC[C@H]1OS(=O)C(F)(F)F,0.20750535,31.02118,0.9745768,0,0.0
Cc1cnoc1C(F)(F)F,Cc1cnoc1C(F)(F)F,0.44086522,26.471228,1.6022732,0,0.0
O=C(Nc1ccc2c(c1)CC(F)C2)C(F)(F)F,O=C(Nc1ccc2c(c1)CC(F)C2)C(F)(F)F,0.21429142,33.649345,2.985747,0,0.0
NC(=O)c1cc(C(F)(F)F)cc(F)c1Cl,NC(=O)c1cc(C(F)(F)F)cc(F)c1Cl,-0.28563944,34.313408,2.1639302,0,0.0
O=C1CC(C(F)(F)F)C(F)(F)C1,O=C1CC(C(F)(F)F)C(F)(F)C1,0.097068675,22.492754,1.4989922,0,0.0
CC(=O)N(O)C(F)(F)C(F)(F)F,CC(=O)N(O)C(F)(F)C(F)(F)F,0.24935643,24.745594,0.9022514,0,0.0
CC(C)(C)C(F)(F)C(F)C(=O)O,CC(C)(C)C(F)(F)C(F)C(=O)O,0.3378654,22.272345,2.2109723,0,0.0
CCC(CO)c1ccc(C(F)C(F)(F)F)cc1,CCC(CO)c1ccc(C(F)C(F)(F)F)cc1,0.47219992,31.6795,3.3348007,0,0.0
Cc1ccc(S(=O)(=O)OCCO)c(C(F)(F)F)c1,Cc1ccc(S(=O)(=O)OCCO)c(C(F)(F)F)c1,0.15456441,41.486996,2.1350398,0,0.0
COP(=O)(CCO)C(=O)C(F)(F)C(F)(F)F,COP(=O)(CCO)C(=O)C(F)(F)C(F)(F)F,-0.22593942,31.255505,0.45367232,0,0.0
O=c1[nH]c(CO)cc(C(F)(F)F)c1C(F)(F)F,O=c1[nH]c(CO)cc(C(F)(F)F)c1C(F)(F)F,-0.29634923,31.878836,1.3705792,0,0.0
N=C1CC(O)(Cl)C(F)(F)C1(F)F,N=C1CC(O)(Cl)C(F)(F)C1(F)F,-0.15092304,27.187033,1.3676027,0,0.0
C=CC(C)OC(F)(F)F,C=CC(C)OC(F)(F)F,0.8869603,18.769718,2.330556,0,0.0
FC(F)OC(F)C(F)(F)Br,FC(F)OC(F)C(F)(F)Br,0.9604107,19.313496,2.2011209,0,0.0
N=C(N)CC(F)(F)Cl,N=C(N)CC(F)(F)Cl,0.95647985,28.60902,0.65691036,0,0.0
FC(F)(F)C(F)(F)COCI,FC(F)(F)C(F)(F)COCI,0.45010233,23.868341,2.5675323,0,0.0
OC(F)(F)CCOCc1ccc(Br)nn1,OC(F)(F)CCOCc1ccc(Br)nn1,0.20412871,37.857685,1.0277297,0,0.0
OC(F)(Cl)C(F)(F)F,OC(F)(Cl)C(F)(F)F,0.81521434,18.742258,1.6591585,0,0.0
Cc1ccc(C(=O)C(F)(F)F)cc1,Cc1ccc(C(=O)C(F)(F)F)cc1,0.3056093,29.515228,2.8572698,0,0.0
NC(=O)C(CO)CC(F)(F)C(F)(F)C(F)(F)F,NC(=O)C(CO)CC(F)(F)C(F)(F)C(F)(F)F,-0.4612279,27.895947,1.2686183,0,0.0
O=C(O)C1CC1(F)C(F)(F)F,O=C(O)C1CC1(F)C(F)(F)F,0.03145209,25.22305,1.2763379,0,0.0
C=CC(F)(F)C(F)(F)CO,C=CC(F)(F)C(F)(F)CO,0.32464126,20.480518,1.5079936,0,0.0
FC(F)(F)C12C=CC(C1)O2,FC(F)(F)C12C=CC(C1)O2,0.13164422,23.714901,1.5838126,0,0.0
CCS(=O)(=O)C(F)(F)F,CCS(=O)(=O)C(F)(F)F,0.51908314,29.60347,1.0958914,0,0.0
O=C1CCN(C(=O)O)C(F)(C(F)(F)F)C1,O=C1CCN(C(=O)O)C(F)(C(F)(F)F)C1,-0.34682077,38.223003,0.8161467,0,0.0
COC(=O)C(C)(CCO)C(F)(F)F,COC(=O)C(C)(CCO)C(F)(F)F,0.19306497,29.40362,1.2230253,0,0.0
C=C(C)C(C)(O)CC(F)(F)F,C=C(C)C(C)(O)CC(F)(F)F,0.8023094,22.596859,2.1157684,0,0.0
Cc1nc(Cl)c(C(F)(F)F)[nH]1,Cc1nc(Cl)c(C(F)(F)F)[nH]1,0.35021052,29.568426,2.04343,0,0.0
O=C1CC(F)(F)O1,O=C1CC(F)(F)O1,0.4452013,23.731878,0.2589578,0,0.0
OCC(F)(F)c1nc(Cl)co1,OCC(F)(F)c1nc(Cl)co1,0.16790698,32.03427,0.93678796,0,0.0
OCCCC(O)(C(F)(F)F)C(F)(F)F,OCCCC(O)(C(F)(F)F)C(F)(F)F,0.25072524,25.525995,1.4194764,0,0.0
CC(C)(N)CC(F)(F)C(F)(F)C(=O)O,CC(C)(N)CC(F)(F)C(F)(F)C(=O)O,0.12523338,23.52681,-0.53719866,0,0.0
CCOC(=O)C(C)C(F)(F)C(F)(F)F,CCOC(=O)C(C)C(F)(F)C(F)(F)F,-0.06448487,20.36877,2.6856875,0,0.0
O=C(C(F)C(F)(F)C(F)(F)F)N1CCOCC1,O=C(C(F)C(F)(F)C(F)(F)F)N1CCOCC1,-0.4899951,33.345535,1.1444752,0,0.0
Nc1cc(C(F)(F)F)c(F)c(F)n1,Nc1cc(C(F)(F)F)c(F)c(F)n1,0.094529614,28.049152,2.1110752,0,0.0
COC(=O)C(O)C1CCCCCC(C)(C(F)(F)F)C1(F)F,COC(=O)C(O)C1CCCCCC(C)(C(F)(F)F)C1(F)F,0.080463044,29.972351,3.6426117,0,0.0
CC1OC(=O)c2c1cc(Cl)cc2C(F)(F)F,CC1OC(=O)c2c1cc(Cl)cc2C(F)(F)F,-0.51330173,35.36062,3.057693,0,0.0
CCC(O)(C(=O)O)C(F)(F)F,CCC(O)(C(=O)O)C(F)(F)F,0.59324145,28.418045,1.0029649,0,0.0
NC(=O)OC(F)(F)C(F)(F)CO,NC(=O)OC(F)(F)C(F)(F)CO,0.2051444,27.848755,0.33161575,0,0.0
N=CCCC(F)(F)C(F)(F)F,N=CCCC(F)(F)C(F)(F)F,0.3782439,23.113102,1.5978558,0,0.0
CCOC(=O)COC(=O)C1CCCCC1C(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)COC(=O)C1CCCCC1C(F)(F)C(F)(F)C(F)(F)F,-0.78067577,27.964865,4.3286653,0,0.0
CCC(I)C(F)(F)F,CCC(I)C(F)(F)F,0.93185246,22.244118,3.0046992,0,0.0
O=C1CCC(O)(C(F)(F)F)CO1,O=C1CCC(O)(C(F)(F)F)CO1,-0.044252932,32.199654,0.15831737,0,0.0
O=NCc1cccc(C(F)(F)F)c1,O=NCc1cccc(C(F)(F)F)c1,0.20303006,32.589073,2.2740211,0,0.0
Cc1ccc(C(C)C(F)(F)F)cc1C(=O)O,Cc1ccc(C(C)C(F)(F)F)cc1C(=O)O,0.000121868,33.601345,3.544407,0,0.0
Nc1cc(N)nc(OC(F)(F)F)n1,Nc1cc(N)nc(OC(F)(F)F)n1,0.4201191,38.770645,1.3536224,0,0.0
NC(=O)C(F)(F)C(F)(F)C(F)(F)CO,NC(=O)C(F)(F)C(F)(F)C(F)(F)CO,-0.29879245,23.10266,0.6186406,0,0.0
Cc1cc2c(=O)n(C)c(=O)[nH]c2cc1C(F)(F)F,Cc1cc2c(=O)n(C)c(=O)[nH]c2cc1C(F)(F)F,-0.13959806,40.730267,2.002434,0,0.0
COC1C=CC(F)(F)C1(F)F,COC1C=CC(F)(F)C1(F)F,-0.10862525,19.68223,1.7556521,0,0.0
CC1CC(F)(F)C1(F)F,CC1CC(F)(F)C1(F)F,0.19106296,16.83702,2.2338161,0,0.0
COC(=O)c1nc(C)[nH]c1C(F)(F)F,COC(=O)c1nc(C)[nH]c1C(F)(F)F,-0.14763439,33.2266,1.3647989,0,0.0
COC(=O)C1(C(O)(F)F)OC(F)(F)O1,COC(=O)C1(C(O)(F)F)OC(F)(F)O1,0.085439384,24.184952,1.3542608,0,0.0
NC(=O)N1CCCC(F)(F)C1(F)F,NC(=O)N1CCCC(F)(F)C1(F)F,-0.001077217,31.258886,1.4030111,0,0.0
O=C1CC(C(F)F)(C(F)(F)F)ON1,O=C1CC(C(F)F)(C(F)(F)F)ON1,-0.11414526,28.18819,1.2400744,0,0.0
CS(=O)(=O)CSCCC(F)(F)F,CS(=O)(=O)CSCCC(F)(F)F,0.5692956,37.96517,1.0533569,0,0.0
Cc1nc(C)c(C(F)(F)F)[nH]1,Cc1nc(C)c(C(F)(F)F)[nH]1,0.45166713,28.052017,1.6811203,0,0.0
NC(=O)C(F)(F)C(F)(F)Br,NC(=O)C(F)(F)C(F)(F)Br,0.40133137,23.202038,1.2479206,0,0.0
O=C1OC(F)C(F)(F)[C@H](CO)O1,O=C1OC(F)C(F)(F)[C@H](CO)O1,-0.19736728,30.460232,-0.020767158,0,0.0
NC(=O)C1(F)OC(F)(F)CC1(F)F,NC(=O)C1(F)OC(F)(F)CC1(F)F,-0.1620572,22.267677,1.3409038,0,0.0
COC(=O)C(OC)OCC(F)(F)C(F)(F)F,COC(=O)C(OC)OCC(F)(F)C(F)(F)F,0.073246635,22.636343,1.4757818,0,0.0
OCC1CC(C(F)F)(C(F)(F)F)O1,OCC1CC(C(F)F)(C(F)(F)F)O1,0.0707701,26.548084,1.2630475,0,0.0
CCC(Br)C(F)(F)F,CCC(Br)C(F)(F)F,0.9450488,21.236177,2.7933183,0,0.0
O=C1CNC(C(F)(F)F)(C(F)(F)F)O1,O=C1CNC(C(F)(F)F)(C(F)(F)F)O1,-0.38060898,24.641666,1.1725495,0,0.0
FC1CCC(F)(F)C1(F)F,FC1CCC(F)(F)C1(F)F,-0.007403046,17.51606,1.9977276,0,0.0
O=C(O)CC(F)(F)c1c(F)cccc1F,O=C(O)CC(F)(F)c1c(F)cccc1F,-0.35990044,32.92253,2.3694756,0,0.0
COC(=O)C1CC(C(F)(F)F)(C(F)(F)F)O1,COC(=O)C1CC(C(F)(F)F)(C(F)(F)F)O1,-0.38450152,23.434484,2.1628911,0,0.0
OC(F)(Br)C(F)(F)OCC1CCO1,OC(F)(Br)C(F)(F)OCC1CCO1,0.6211445,30.516535,1.481373,0,0.0
O=C(OCC1CCN(C(=O)C(F)(F)F)CCOC1)OCC(F)(F)F,O=C(OCC1CCN(C(=O)C(F)(F)F)CCOC1)OCC(F)(F)F,-0.7957083,37.587112,1.8321483,0,0.0
OCc1ccnc(F)c1C(F)(F)F,OCc1ccnc(F)c1C(F)(F)F,0.13820113,33.32984,1.352887,0,0.0
COCC(Br)C(F)(F)F,COCC(Br)C(F)(F)F,0.8929741,23.386143,1.8065746,0,0.0
O=S(CO)C(F)(F)F,O=S(CO)C(F)(F)F,0.73700607,28.638102,0.19104336,0,0.0
COC1OC(C(F)(F)F)C(F)(F)O1,COC1OC(C(F)(F)F)C(F)(F)O1,0.060796816,20.282225,1.7773739,0,0.0
COC(=O)CC(Br)C(F)(F)F,COC(=O)CC(Br)C(F)(F)F,0.2988892,28.292215,1.9136318,0,0.0
FC(I)N(F)C(F)(F)F,FC(I)N(F)C(F)(F)F,1.1617782,21.031128,1.9026015,0,0.0
CNC(=O)C(O)(C(F)(F)F)C(F)(F)F,CNC(=O)C(O)(C(F)(F)F)C(F)(F)F,-0.0717851,26.337027,1.1450996,0,0.0
